"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"530043","ACKNIT","Acknit Industries Limited","X","5.0000","1","ES","E","BSE","322.8500","215.2500","","","80000"
"505720","HERCULES","Hercules Investments","B","5.0000","1","ES","E","BSE","140.1000","93.4000","","","80000"
"533259","SASTASUNDR","Sastasundar Ventures","B","5.0000","1","ES","E","BSE","348.0000","232.0000","","","354591"
"21551","HALEOSLABS","Haleos Labs","EQ","10.0000","1","ES","E","NSE","1325.1000","1198.9000","","","79237"
"11689","SUPRAJIT","Suprajit Engineering","EQ","5.0000","1","ES","E","NSE","493.0000","328.7000","","","243341"
"3570","UCAL","UCAL LIMITED","EQ","1.0000","1","ES","E","NSE","122.8400","81.9000","","","723115"
"500210","INGERRAND","Ingersoll Rand","A","5.0000","1","ES","E","BSE","4562.2500","3041.5500","","","26233"
"9889","SMARTLINK","Smartlink Holdings","EQ","1.0000","1","ES","E","NSE","139.3400","92.9000","","","326182"
"526381","PATINTLOG","Patel Integrated Logistic","B","1.0000","1","ES","E","BSE","11.7700","7.8500","","","2275453"
"509835","PREMSYN","Premier Synthetics","X","1.0000","1","ES","E","BSE","16.6500","11.1100","","","80000"
"532218","SOUTHBANK","South Indian Bank","A","1.0000","1","ES","E","BSE","46.8100","31.2100","","","2564707"
"532392","CREATIVEYE","Creative Eye","B","1.0000","1","ES","E","BSE","8.1100","5.4100","","","655904"
"523716","ASHIANA","Ashiana Housing","B","5.0000","1","ES","E","BSE","377.6000","251.8000","","","318362"
"506180","EMERGENT","Emergent Industrial Solutions","XT","5.0000","1","ES","E","BSE","418.7500","378.9500","","","80000"
"503776","MODIPON","Modipon","X","1.0000","1","ES","E","BSE","38.2600","31.3200","","","80000"
"531456","MINAXI","Minaxi Textiles","X","1.0000","1","ES","E","BSE","1.8600","1.2400","","","80000"
"13111","ORIENTCER","Orient Abrasives","EQ","1.0000","1","ES","E","NSE","45.6600","30.4400","","","2628114"
"13577","VOLTAMP","Voltamp Transformers","EQ","50.0000","1","ES","E","NSE","10483.0000","6989.0000","","","11442"
"524711","VISTAPH","Vista Pharmaceuticals","X","1.0000","1","ES","E","BSE","8.1700","5.4500","","","80000"
"500696","HINDUNILVR","Hindustan Unilever","A","5.0000","1","ES","E","BSE","2348.9500","1921.9500","","","44642"
"6407","LAMBODHARA","Lambodhara Textiles","EQ","1.0000","1","ES","E","NSE","117.8800","78.6000","","","339347"
"521244","MKPMOB","Chitradurga Spintex","X","5.0000","1","ES","E","BSE","111.3000","100.7000","","","80000"
"14413","PAGEIND","Page Industries","EQ","500.0000","1","ES","E","NSE","33945.0000","27775.0000","","","3234"
"509069","INFOMEDIA","Infomedia Press","B","1.0000","1","ES","E","BSE","5.7200","4.6800","","","1641349"
"532189","ITDC","ITDC","B","5.0000","1","ES","E","BSE","557.8500","371.9500","","","215366"
"542679","DEL","Dhanashree Electronics Li","XT","5.0000","1","ES","E","BSE","178.0000","161.1000","","","80000"
"540136","HPL","Hpl Electric & Power Limited","B","5.0000","1","ES","E","BSE","386.2500","257.5500","","","310442"
"6600","GENUSPAPER","Genus P&B","EQ","1.0000","1","ES","E","NSE","14.1200","9.4200","","","8408018"
"506480","GOCLCORP","GOCL Corp","B","5.0000","1","ES","E","BSE","302.0000","201.4000","","","397571"
"532994","ARCHIDPLY","Archidply Industries","B","1.0000","1","ES","E","BSE","89.7700","59.8500","","","649585"
"532505","UCOBANK","UCO Bank","A","1.0000","1","ES","E","BSE","31.8700","21.2500","","","3761867"
"517273","S&SPOWER","S&S Power Switchgear","T","5.0000","1","ES","E","BSE","375.1000","360.4000","","","270378"
"14894","CENTRALBK","Central Bank Of India","EQ","1.0000","1","ES","E","NSE","43.9300","29.2900","","","2724471"
"531237","DHRUVCA","Dhruva Capital Services L","XT","5.0000","1","ES","E","BSE","237.2000","214.7000","","","80000"
"539894","MADHAVIPL","Madhav Infra Projects Limited","X","1.0000","1","ES","E","BSE","10.1100","6.7500","","","80000"
"17957","MMTC","MMTC","EQ","1.0000","1","ES","E","NSE","66.7500","44.5100","","","1796999"
"530065","LORDSHOTL","Lords Ishwar Hotels Limit","X","1.0000","1","ES","E","BSE","18.3500","15.0300","","","80000"
"531778","KACHCHH","Kachchh Minerals","XT","1.0000","1","ES","E","BSE","31.4800","28.5000","","","80000"
"530581","EKAMLEA","Ekam Leasing & Finance Co","X","1.0000","1","ES","E","BSE","6.5100","5.8900","","","80000"
"523260","PEARLPOLY","Pearl Polymers","B","1.0000","1","ES","E","BSE","20.6000","13.7400","","","550502"
"533287","ZEELEARN","Zee Learn","B","1.0000","1","ES","E","BSE","6.5500","4.3700","","","10694927"
"500096","DABUR","Dabur India","A","5.0000","1","ES","E","BSE","505.2500","413.4500","","","216390"
"530259","INTSTOIL","Inter State Oil Carrier L","X","1.0000","1","ES","E","BSE","38.3800","25.6000","","","80000"
"532553","WELENT","Welspun Enterprises Limte","A","5.0000","1","ES","E","BSE","565.8500","377.2500","","","212188"
"506734","MYSORPETRO","Mysore Petro Chemicals","X","1.0000","1","ES","E","BSE","110.3800","73.6000","","","80000"
"506520","JAYCH","Jayshree Chemicals","X","1.0000","1","ES","E","BSE","7.0300","4.6900","","","80000"
"524518","KREBSBIO","Krebs Biochemicals & Ind","B","1.0000","1","ES","E","BSE","63.7200","42.4800","","","705031"
"524091","CARYSIL","Carysil Limited","B","5.0000","1","ES","E","BSE","976.0000","650.7000","","","122644"
"14086","IGPL","IG Petrochemicals","EQ","5.0000","1","ES","E","NSE","427.8500","285.2500","","","280448"
"513528","GLITTEKG","Glittek Granites","XT","1.0000","1","ES","E","BSE","55.2300","49.9700","","","80000"
"9668","HIKAL","Hikal","EQ","1.0000","1","ES","E","NSE","216.3000","144.2000","","","554730"
"11987","ICIL","Indo Count Industries","EQ","5.0000","1","ES","E","NSE","268.4500","219.6500","","","409576"
