"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"1","","NIFTY MIDCAP 150","","","","I","","NSE","","","","",""
"3","","NIFTY SMALLCAP 250","","","","I","","NSE","","","","",""
"5","","NIFTY SMLCAP 100","","","","I","","NSE","","","","",""
"13","","NIFTY","","","","I","","NSE","","","","",""
"14","","NIFTY AUTO","","","","I","","NSE","","","","",""
"15","","NIFTY PVT BANK","","","","I","","NSE","","","","",""
"17","","NIFTY 100","","","","I","","NSE","","","","",""
"18","","NIFTY 200","","","","I","","NSE","","","","",""
"19","","NIFTY 500","","","","I","","NSE","","","","",""
"20","","NIFTYMCAP50","","","","I","","NSE","","","","",""
"21","","INDIA VIX","","","","I","","NSE","","","","",""
"25","","BANKNIFTY","","","","I","","NSE","","","","",""
"27","","FINNIFTY","","","","I","","NSE","","","","",""
"28","","NIFTY FMCG","","","","I","","NSE","","","","",""
"29","","NIFTYIT","","","","I","","NSE","","","","",""
"30","","NIFTY MEDIA","","","","I","","NSE","","","","",""
"31","","NIFTY METAL","","","","I","","NSE","","","","",""
"32","","NIFTY PHARMA","","","","I","","NSE","","","","",""
"33","","NIFTY PSU BANK","","","","I","","NSE","","","","",""
"34","","NIFTY REALTY","","","","I","","NSE","","","","",""
"37","","NIFTY MIDCAP 100","","","","I","","NSE","","","","",""
"38","","NIFTY NEXT 50","","","","I","","NSE","","","","",""
"51","","SENSEX","","","","I","","BSE","","","","",""
"54","","LCTMCI","","","","I","","BSE","","","","",""
"55","","LMI250","","","","I","","BSE","","","","",""
"56","","MID150","","","","I","","BSE","","","","",""
"57","","MSL400","","","","I","","BSE","","","","",""
"64","","MIDCAP","","","","I","","BSE","","","","",""
"65","","BSE100","","","","I","","BSE","","","","",""
"66","","BSE200","","","","I","","BSE","","","","",""
"67","","BSE500","","","","I","","BSE","","","","",""
"68","","AUTO","","","","I","","BSE","","","","",""
"69","","BANKEX","","","","I","","BSE","","","","",""
"70","","BSE CD","","","","I","","BSE","","","","",""
"71","","BSE CG","","","","I","","BSE","","","","",""
"72","","BSEFMC","","","","I","","BSE","","","","",""
"73","","BSE HC","","","","I","","BSE","","","","",""
"74","","BSE IT","","","","I","","BSE","","","","",""
"75","","METAL","","","","I","","BSE","","","","",""
"76","","OILGAS","","","","I","","BSE","","","","",""
"77","","POWER","","","","I","","BSE","","","","",""
"79","","REALTY","","","","I","","BSE","","","","",""
"80","","TECK","","","","I","","BSE","","","","",""
"82","","SMLCAP","","","","I","","BSE","","","","",""
"83","","SNSX50","","","","I","","BSE","","","","",""
"84","","ALLCAP","","","","I","","BSE","","","","",""
"88","","UTILS","","","","I","","BSE","","","","",""
"89","","TELCOM","","","","I","","BSE","","","","",""
"90","","SMLSEL","","","","I","","BSE","","","","",""
"91","","COMDTY","","","","I","","BSE","","","","",""
"92","","ENERGY","","","","I","","BSE","","","","",""
"93","","FINSER","","","","I","","BSE","","","","",""
"94","","LRGCAP","","","","I","","BSE","","","","",""
"95","","MIDSEL","","","","I","","BSE","","","","",""
"96","","CONDIS","","","","I","","BSE","","","","",""
"97","","INDSTR","","","","I","","BSE","","","","",""
"301","","BHRT22","","","","I","","BSE","","","","",""
"309","","SML250","","","","I","","BSE","","","","",""
"310","","SNXT50","","","","I","","BSE","","","","",""
"442","","NIFTY MID SELECT","","","","I","","NSE","","","","",""
"443","","NIFTY TOTAL MKT","","","","I","","NSE","","","","",""
"444","","NIFTY MICROCAP250","","","","I","","NSE","","","","",""
"445","","NIFTY IND DIGITAL","","","","I","","NSE","","","","",""
"446","","NIFTY M150 QLTY50","","","","I","","NSE","","","","",""
"447","","NIFTY100 ESG","","","","I","","NSE","","","","",""
"448","","NIFTY INDIA MFG","","","","I","","NSE","","","","",""
"449","","Nifty Midcap 150 Momentum 50","","","","I","","NSE","","","","",""
"450","","Nifty200 Alpha 30","","","","I","","NSE","","","","",""
"451","","Nifty Tata Group 25 percent Cap","","","","I","","NSE","","","","",""
"452","","Nifty500 Multicap India Manufacturing 50:30:20","","","","I","","NSE","","","","",""
"453","","Nifty500 Multicap Infrastructure 50:30:20","","","","I","","NSE","","","","",""
"454","","Nifty MidSmall Healthcare","","","","I","","NSE","","","","",""
