"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"844454","SENSEX-Dec2026-77000-PE","SENSEX 31 DEC 77000 PUT","","5.0000","20","OPTIDX","D","BSE","3297.8000","1514.0000","2026-12-31 00:00:00","77000.0","1000"
"840668","SENSEX-Jun2029-79000-CE","SENSEX 28 JUN 79000 CALL","","5.0000","20","OPTIDX","D","BSE","16184.6500","11439.1500","2029-06-28 00:00:00","79000.0","1000"
"855113","SENSEX-Jun2029-82000-PE","SENSEX 28 JUN 82000 PUT","","5.0000","20","OPTIDX","D","BSE","5353.0000","4389.7000","2029-06-28 00:00:00","82000.0","1000"
"842151","SENSEX-Jun2029-78000-PE","SENSEX 28 JUN 78000 PUT","","5.0000","20","OPTIDX","D","BSE","3965.8500","3224.1500","2029-06-28 00:00:00","78000.0","1000"
"857422","SENSEX-Jun2029-81000-CE","SENSEX 28 JUN 81000 CALL","","5.0000","20","OPTIDX","D","BSE","15067.7500","10433.1500","2029-06-28 00:00:00","81000.0","1000"
"855429","SENSEX-Jun2029-83000-PE","SENSEX 28 JUN 83000 PUT","","5.0000","20","OPTIDX","D","BSE","5738.4500","4715.6500","2029-06-28 00:00:00","83000.0","1000"
"844202","SENSEX-Jun2029-77000-CE","SENSEX 28 JUN 77000 CALL","","5.0000","20","OPTIDX","D","BSE","17356.4000","12507.0500","2029-06-28 00:00:00","77000.0","1000"
"840789","SENSEX-Jun2029-79000-PE","SENSEX 28 JUN 79000 PUT","","5.0000","20","OPTIDX","D","BSE","4289.4000","3494.9000","2029-06-28 00:00:00","79000.0","1000"
"859986","SENSEX-Jun2029-80000-PE","SENSEX 28 JUN 80000 PUT","","5.0000","20","OPTIDX","D","BSE","4628.4500","3779.3500","2029-06-28 00:00:00","80000.0","1000"
"860247","SENSEX-Jun2029-82000-CE","SENSEX 28 JUN 82000 CALL","","5.0000","20","OPTIDX","D","BSE","14530.0500","9953.3500","2029-06-28 00:00:00","82000.0","1000"
"860496","SENSEX-Jun2029-80000-CE","SENSEX 28 JUN 80000 CALL","","5.0000","20","OPTIDX","D","BSE","15619.3000","10928.4000","2029-06-28 00:00:00","80000.0","1000"
"842765","SENSEX-Jun2029-78000-CE","SENSEX 28 JUN 78000 CALL","","5.0000","20","OPTIDX","D","BSE","16763.7000","11965.4000","2029-06-28 00:00:00","78000.0","1000"
"862811","SENSEX-Jun2029-81000-PE","SENSEX 28 JUN 81000 PUT","","5.0000","20","OPTIDX","D","BSE","4983.0000","4077.6000","2029-06-28 00:00:00","81000.0","1000"
"855225","SENSEX-Jun2029-83000-CE","SENSEX 28 JUN 83000 CALL","","5.0000","20","OPTIDX","D","BSE","14006.1500","9489.0000","2029-06-28 00:00:00","83000.0","1000"
"844523","SENSEX-Jun2029-77000-PE","SENSEX 28 JUN 77000 PUT","","5.0000","20","OPTIDX","D","BSE","3657.7000","2967.0000","2029-06-28 00:00:00","77000.0","1000"
"840560","SENSEX-Jun2027-79000-PE","SENSEX 24 JUN 79000 PUT","","5.0000","20","OPTIDX","D","BSE","4610.0000","2901.4000","2027-06-24 00:00:00","79000.0","1000"
"840742","SENSEX-Dec2027-79000-CE","SENSEX 30 DEC 79000 CALL","","5.0000","20","OPTIDX","D","BSE","10185.8000","6006.7000","2027-12-30 00:00:00","79000.0","1000"
"840665","SENSEX-Jun2027-79000-CE","SENSEX 24 JUN 79000 CALL","","5.0000","20","OPTIDX","D","BSE","7728.3500","3896.9500","2027-06-24 00:00:00","79000.0","1000"
